product_general_id,product_name,product_description,unit,unit_quantity,tags,img,created_at,category_id,category_name,category_description,product_general_id,min_price
101,Ớt Hiểm Đỏ,Ớt hiểm đỏ tươi cay nồng,GRAM,200,"ớt,gia vị,rau thơm",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.330091,9,Rau Gia Vị,Các loại rau và củ gia vị,101,555000.0
103,Sả Tươi Nguyên Cây,Sả tươi nguyên cây thơm nồng,GRAM,300,"sả,gia vị,rau thơm",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.340828,9,Rau Gia Vị,Các loại rau và củ gia vị,103,565000.0
47,Rau Muống Dại,Rau muống dại tươi thơm ngon,GRAM,500,"rau muống,rau dại,rau xanh",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.044148,6,Rau Ăn Lá,Các loại rau xanh ăn lá,47,285000.0
13,Gan Gà Tươi,"Gan gà tươi ngon, giàu dinh dưỡng",GRAM,300,"gan gà,lòng gà,nội t장",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:02.819710,2,Gia Cầm,Các loại thịt gia cầm tươi,13,115000.0
85,Ổi Nữ Hoàng,Ổi nữ hoàng giòn ngọt thơm,KILOGRAM,1,"ổi,trái cây,hoa quả",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.245914,8,Trái Cây,Trái cây tươi trong nước và nhập khẩu,85,475000.0
41,Ghẹ Xanh Tươi,Ghẹ xanh tươi sống thịt ngọt,KILOGRAM,1,"ghẹ,cua tươi,hải sản",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.006533,4,Hải Sản,Hải sản tươi sống,41,255000.0
37,Mực Ống Tươi,Mực ống tươi size lớn,KILOGRAM,1,"mực ống,mực tươi,hải sản",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:02.980878,4,Hải Sản,Hải sản tươi sống,37,235000.0
74,Su Su Trắng,Su su trắng tươi mềm ngọt,KILOGRAM,1,"su su,củ quả,rau củ",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.190590,7,Củ Quả,Các loại củ và quả tươi,74,420000.0
93,Hành Tím Tươi,Hành tím tươi cay nồng,GRAM,500,"hành tím,gia vị,rau thơm",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.292083,9,Rau Gia Vị,Các loại rau và củ gia vị,93,515000.0
92,Hành Tây Tươi,Hành tây tươi cay thơm,KILOGRAM,1,"hành tây,gia vị,rau thơm",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.283965,9,Rau Gia Vị,Các loại rau và củ gia vị,92,510000.0
